 
****************************************
Report : resources
Design : MBE_Mult
Version: O-2018.06-SP4
Date   : Sat Dec 11 02:32:22 2021
****************************************


Resource Report for this hierarchy in file ../src/MBE_Mult_syn.vhd
=============================================================================
| Cell           | Module         | Parameters | Contained Operations       |
| lte_x_139      | DW_cmp         | width=3    | PP_GEN/Mux_6/lte_20_6 (Mux8to1.vhd:20) |
| lte_x_140      | DW_cmp         | width=3    | PP_GEN/Mux_6/lte_20_7 (Mux8to1.vhd:20) |
| lte_x_141      | DW_cmp         | width=3    | PP_GEN/Mux_6/lte_20_8 (Mux8to1.vhd:20) |
| lte_x_156      | DW_cmp         | width=3    | PP_GEN/Mux_7/lte_20 (Mux8to1.vhd:20) |
| lte_x_157      | DW_cmp         | width=3    | PP_GEN/Mux_7/lte_20_2 (Mux8to1.vhd:20) |
| lte_x_158      | DW_cmp         | width=3    | PP_GEN/Mux_7/lte_20_3 (Mux8to1.vhd:20) |
| lte_x_159      | DW_cmp         | width=3    | PP_GEN/Mux_7/lte_20_4 (Mux8to1.vhd:20) |
| lte_x_160      | DW_cmp         | width=3    | PP_GEN/Mux_7/lte_20_5 (Mux8to1.vhd:20) |
| lte_x_161      | DW_cmp         | width=3    | PP_GEN/Mux_7/lte_20_6 (Mux8to1.vhd:20) |
| lte_x_162      | DW_cmp         | width=3    | PP_GEN/Mux_7/lte_20_7 (Mux8to1.vhd:20) |
| lte_x_163      | DW_cmp         | width=3    | PP_GEN/Mux_7/lte_20_8 (Mux8to1.vhd:20) |
| lte_x_178      | DW_cmp         | width=3    | PP_GEN/Mux_8/lte_20 (Mux8to1.vhd:20) |
| lte_x_179      | DW_cmp         | width=3    | PP_GEN/Mux_8/lte_20_2 (Mux8to1.vhd:20) |
| lte_x_180      | DW_cmp         | width=3    | PP_GEN/Mux_8/lte_20_3 (Mux8to1.vhd:20) |
| lte_x_181      | DW_cmp         | width=3    | PP_GEN/Mux_8/lte_20_4 (Mux8to1.vhd:20) |
| lte_x_182      | DW_cmp         | width=3    | PP_GEN/Mux_8/lte_20_5 (Mux8to1.vhd:20) |
| lte_x_183      | DW_cmp         | width=3    | PP_GEN/Mux_8/lte_20_6 (Mux8to1.vhd:20) |
| lte_x_184      | DW_cmp         | width=3    | PP_GEN/Mux_8/lte_20_7 (Mux8to1.vhd:20) |
| lte_x_185      | DW_cmp         | width=3    | PP_GEN/Mux_8/lte_20_8 (Mux8to1.vhd:20) |
| lte_x_200      | DW_cmp         | width=3    | PP_GEN/Mux_9/lte_20 (Mux8to1.vhd:20) |
| lte_x_201      | DW_cmp         | width=3    | PP_GEN/Mux_9/lte_20_2 (Mux8to1.vhd:20) |
| lte_x_202      | DW_cmp         | width=3    | PP_GEN/Mux_9/lte_20_3 (Mux8to1.vhd:20) |
| lte_x_203      | DW_cmp         | width=3    | PP_GEN/Mux_9/lte_20_4 (Mux8to1.vhd:20) |
| lte_x_204      | DW_cmp         | width=3    | PP_GEN/Mux_9/lte_20_5 (Mux8to1.vhd:20) |
| lte_x_205      | DW_cmp         | width=3    | PP_GEN/Mux_9/lte_20_6 (Mux8to1.vhd:20) |
| lte_x_206      | DW_cmp         | width=3    | PP_GEN/Mux_9/lte_20_7 (Mux8to1.vhd:20) |
| lte_x_207      | DW_cmp         | width=3    | PP_GEN/Mux_9/lte_20_8 (Mux8to1.vhd:20) |
| lte_x_222      | DW_cmp         | width=3    | PP_GEN/Mux_10/lte_20 (Mux8to1.vhd:20) |
| lte_x_223      | DW_cmp         | width=3    | PP_GEN/Mux_10/lte_20_2 (Mux8to1.vhd:20) |
| lte_x_224      | DW_cmp         | width=3    | PP_GEN/Mux_10/lte_20_3 (Mux8to1.vhd:20) |
| lte_x_225      | DW_cmp         | width=3    | PP_GEN/Mux_10/lte_20_4 (Mux8to1.vhd:20) |
| lte_x_226      | DW_cmp         | width=3    | PP_GEN/Mux_10/lte_20_5 (Mux8to1.vhd:20) |
| lte_x_227      | DW_cmp         | width=3    | PP_GEN/Mux_10/lte_20_6 (Mux8to1.vhd:20) |
| lte_x_228      | DW_cmp         | width=3    | PP_GEN/Mux_10/lte_20_7 (Mux8to1.vhd:20) |
| lte_x_229      | DW_cmp         | width=3    | PP_GEN/Mux_10/lte_20_8 (Mux8to1.vhd:20) |
| lte_x_244      | DW_cmp         | width=3    | PP_GEN/Mux_11/lte_20 (Mux8to1.vhd:20) |
| lte_x_245      | DW_cmp         | width=3    | PP_GEN/Mux_11/lte_20_2 (Mux8to1.vhd:20) |
| lte_x_246      | DW_cmp         | width=3    | PP_GEN/Mux_11/lte_20_3 (Mux8to1.vhd:20) |
| lte_x_247      | DW_cmp         | width=3    | PP_GEN/Mux_11/lte_20_4 (Mux8to1.vhd:20) |
| lte_x_248      | DW_cmp         | width=3    | PP_GEN/Mux_11/lte_20_5 (Mux8to1.vhd:20) |
